Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/8/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Barbados,BRB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,104.1020584,101.11129,99.71481323,94.14491272,96.5687027,96.2026825,102.0537491,106.0725021,108.5491562,101.6729507,104.0348663,105.2977905,107.58564,114.9215393,115.7856293,,,,117.5040665,112.1352692,,106.8831406,,,,,,,103.1753311,102.6162415,104.4225998,103.5453491,104.4876099,102.3657837,101.5936127,101.2760391,100.2129898,100.4704971,99.80239105,100.0264866,100.6078756,,,96.43345176,95.40518343,95.31932503,94.36600157,94.47222092,94.75614403,94.51348298,92.77090326,90.18753168,88.00756878,83.93702408,
Brunei Darussalam,BRN,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,121.0982513,129.264267,131.9443817,129.2723846,126.8859406,122.5637131,123.9753876,127.7707214,128.9923553,114.1081772,113.6382294,114.9216385,111.8043518,113.7013397,117.1101532,117.0448837,122.9528885,121.5892563,123.2982101,125.8627777,,116.4194717,114.4410629,115.3052597,115.4035187,113.2874908,111.8543777,110.2138977,113.1086197,113.2621536,112.0378799,110.1354218,112.1153107,116.9262695,119.1053391,119.8447571,121.5059662,122.3212585,116.7831268,112.5324326,108.7058071,104.8308946,103.3105381,103.8951422,103.8477096,104.1857946,105.7263774,104.5670539,104.1799963,103.0330086,102.709634,101.3879268,99.13491298,96.92921887,94.82078718,
Bhutan,BTN,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,19.81324005,19.72456932,21.12507057,,24.19812012,,29.11660004,31.60909081,31.65793991,35.20870972,44.75093842,49.71953964,51.96804047,55.39680862,57.14598846,56.50571823,51.89881134,52.60982895,54.16197968,,,46.43669891,45.3275795,54.50661087,57.22053146,62.32299042,68.27944946,71.66880798,73.82273102,75.68122101,77.86318207,79.74900818,81.86884308,84.87843323,88.83563995,92.44339752,97.06134033,101.1032867,104.5330505,109.0098801,111.975853,113.5667725,113.0196075,106.8412476,104.7195816,103.0994956,101.3240204,99.74477179,99.30602543,97.98992691,103.8260095,105.4610467,105.2661514,106.687398,114.8811236,
Botswana,BWA,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,68.61029816,64.04316711,64.67458344,70.55187225,73.80410004,79.89186859,83.08557129,87.39965057,89.19869995,91.66355133,96.25482178,100.530571,101.3655167,103.165802,104.7210617,107.175621,107.8473969,108.0528412,108.3863525,110.0550613,109.4200134,111.7217102,109.2318192,107.7724991,107.2880783,106.1336975,106.9465332,107.5499268,106.8396225,107.0143814,107.4695816,108.9739075,109.5832138,110.2705231,110.6152115,111.4620819,112.3305664,111.4396591,110.978363,111.2136612,,,107.4119799,105.3155611,101.6166073,101.6233521,,,,,,104.6199799,109.2732561,,,
Central African Republic,CAF,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,53.7795105,52.87097168,56.12878036,56.4139595,58.96860123,58.72499847,61.30345154,61.65982056,61.69538879,62.12615967,62.95542908,66.81968689,70.02423096,75.16403198,78.85787201,78.17089081,67.70252991,68.61475372,68.73835754,71.35777283,64.9651413,56.02481842,,,,,,,,,68.31276703,60.43114853,59.68717957,51.28705978,57.08509064,56.70103073,65.55345917,75.85034943,77.42991638,81.27895355,81.35040283,81.9315033,,,,96.81259918,,,,,,,,,
Canada,CAN,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.41776276,,,,99.44074249,98.59806061,99.76953125,99.54148102,98.60809326,99.60733795,99.1343689,98.56259918,99.49075317,99.38677979,99.52529144,99.86026001,98.5500412,98.6322403,98.66178131,97.18755341,96.90897369,95.22962189,94.73441315,95.01004791,,
Central Europe and the Baltics,CEB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.8094635,101.966423,102.4471436,102.6223373,102.3545532,102.430069,101.7620316,101.2079926,100.4053726,99.52275848,99.58628082,99.60347748,99.44428253,99.61743164,98.52115631,97.75205994,96.90022278,96.17363739,95.95597839,95.32623291,95.89537048,91.6844635,96.93363953,97.04653931,98.63066101,98.63065338,
Switzerland,CHE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.1527863,103.6061707,104.0014801,104.1575317,104.1528702,103.9190979,104.1238174,103.9565506,104.0876617,103.6348495,103.3929062,102.4821777,102.1306381,102.4377594,102.4708176,102.1559296,101.9025269,101.8333282,101.8372421,101.5930481,101.7317123,101.478241,101.3630676,102.282959,101.2117462,
Channel Islands,CHI,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3635635,,101.286972,101.0617905,105.6278763,105.350502,105.6682205,106.5172806,106.8738708,105.7638931,103.219368,103.1704865,103.3697815,102.0848999,101.9308701,101.7125092,101.5851898,101.3962784,101.5380173,101.1932068,99.70439911,99.36522675,100.1922684,100.3183823,99.49423218,
China,CHN,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,120.784462,112.4237976,107.2208023,108.2417831,106.4169769,112.4561081,117.8134079,115.7254715,110.9613037,109.9870529,108.8365173,110.7973175,111.9200516,115.1905823,118.014061,125.3509521,131.1188202,133.9664612,131.6207428,127.4847565,120.8524399,117.7607193,114.9857407,112.7016068,111.1695175,111.6444626,110.5099106,110.2007217,109.902359,,,115.7301025,,,,,105.2438126,105.4389496,106.2017822,105.5906525,104.1817003,103.3295736,103.1811196,101.2319787,96.89638271,96.34001148,96.87879219,97.53798805,97.81030546,97.81749061,98.78606259,99.22945559,100.0980746,99.17186342,99.64496289,
